code,name,quantity,price,expiry,supplier_id
D001,Paracetamol,100,5.99,2024-12-31,S001
D002,Aspirin,50,7.50,2025-06-30,S003
D003,Vitamin C,200,12.99,2025-03-15,S001D001,Paracetamol,100,5.99,2024-12-31,S001
D002,Aspirin,50,7.5,2025-06-30,S003
D003,Vitamin C,200,12.99,2025-03-15,S001
D001,Paracetamol,100,5.99,2024-12-31,S001
D002,Aspirin,50,7.5,2025-06-30,S003
D003,Vitamin C,200,12.99,2025-03-15,S001D001
D002,Aspirin,50,7.5,2025-06-30,S003
D003,Vitamin C,200,12.99,2025-03-15,S001
D001,Paracetamol,100,5.99,2024-12-31,S001
D002,Aspirin,50,7.5,2025-06-30,S003
D003,Vitamin C,200,12.99,2025-03-15,S001D001
D002,Aspirin,50,7.5,2025-06-30,S003
D003,Vitamin C,200,12.99,2025-03-15,S001
D001,Paracetamol,100,5.99,2024-12-31,S001
D002,Aspirin,50,7.5,2025-06-30,S003
D003,Vitamin C,200,12.99,2025-03-15,S001D001
D002,Aspirin,50,7.5,2025-06-30,S003
D003,Vitamin C,200,12.99,2025-03-15,S001
